Date,AvgReturn-dunn-capital-management--wma-program,AvgReturn-eckhardt-trading-company--evolution-strategy,AvgReturn-mak-capital--one-fund,AvgReturn-tim--trend-2,AvgReturn-winton-capital--futures-program,RankLabel-AvgReturn-dunn-capital-management--wma-program,Rank-AvgReturn-dunn-capital-management--wma-program,RankN-AvgReturn-dunn-capital-management--wma-program,RankLabel-AvgReturn-eckhardt-trading-company--evolution-strategy,Rank-AvgReturn-eckhardt-trading-company--evolution-strategy,RankN-AvgReturn-eckhardt-trading-company--evolution-strategy,RankLabel-AvgReturn-mak-capital--one-fund,Rank-AvgReturn-mak-capital--one-fund,RankN-AvgReturn-mak-capital--one-fund,RankLabel-AvgReturn-tim--trend-2,Rank-AvgReturn-tim--trend-2,RankN-AvgReturn-tim--trend-2,RankLabel-AvgReturn-winton-capital--futures-program,Rank-AvgReturn-winton-capital--futures-program,RankN-AvgReturn-winton-capital--futures-program
1984-11-30,-0.1095,,,,,1stQ,0,"(-0.111, 0.0155]",,,,,,,,,,,,
1984-12-31,0.035300000000000005,,,,,4thQ,3,"(0.0181, 0.0583]",,,,,,,,,,,,
1985-01-31,0.044300000000000006,,,,,4thQ,3,"(0.0181, 0.0583]",,,,,,,,,,,,
1985-02-28,0.058300000000000005,,,,,4thQ,3,"(0.0181, 0.0583]",,,,,,,,,,,,
1985-03-31,0.03214,,,,,4thQ,3,"(0.0181, 0.0583]",,,,,,,,,,,,
1985-04-30,0.004966666666666675,,,,,1stQ,0,"(-0.111, 0.0155]",,,,,,,,,,,,
1985-05-31,0.0352,,,,,4thQ,3,"(0.0181, 0.0583]",,,,,,,,,,,,
1985-06-30,0.022312500000000006,,,,,4thQ,3,"(0.0181, 0.0583]",,,,,,,,,,,,
1985-07-31,0.010544444444444448,,,,,1stQ,0,"(-0.111, 0.0155]",,,,,,,,,,,,
1985-08-31,-0.003989999999999996,,,,,1stQ,0,"(-0.111, 0.0155]",,,,,,,,,,,,
1985-09-30,-0.03151818181818182,,,,,1stQ,0,"(-0.111, 0.0155]",,,,,,,,,,,,
1985-10-31,-0.023316666666666663,,,,,1stQ,0,"(-0.111, 0.0155]",,,,,,,,,,,,
1985-11-30,-0.011053846153846148,,,,,1stQ,0,"(-0.111, 0.0155]",,,,,,,,,,,,
1985-12-31,-0.003107142857142853,,,,,1stQ,0,"(-0.111, 0.0155]",,,,,,,,,,,,
1986-01-31,-0.003899999999999996,,,,,1stQ,0,"(-0.111, 0.0155]",,,,,,,,,,,,
1986-02-28,0.011687500000000003,,,,,1stQ,0,"(-0.111, 0.0155]",,,,,,,,,,,,
1986-03-31,0.018017647058823534,,,,,3rdQ,2,"(0.0164, 0.0181]",,,,,,,,,,,,
1986-04-30,0.013911111111111115,,,,,1stQ,0,"(-0.111, 0.0155]",,,,,,,,,,,,
1986-05-31,0.010031578947368424,,,,,1stQ,0,"(-0.111, 0.0155]",,,,,,,,,,,,
1986-06-30,0.002540000000000003,,,,,1stQ,0,"(-0.111, 0.0155]",,,,,,,,,,,,
1986-07-31,0.0004190476190476221,,,,,1stQ,0,"(-0.111, 0.0155]",,,,,,,,,,,,
1986-08-31,0.0060590909090909115,,,,,1stQ,0,"(-0.111, 0.0155]",,,,,,,,,,,,
1986-09-30,0.006073913043478263,,,,,1stQ,0,"(-0.111, 0.0155]",,,,,,,,,,,,
1986-10-31,0.0046583333333333355,,,,,1stQ,0,"(-0.111, 0.0155]",,,,,,,,,,,,
1986-11-30,0.002000000000000002,,,,,1stQ,0,"(-0.111, 0.0155]",,,,,,,,,,,,
1986-12-31,0.0018807692307692332,,,,,1stQ,0,"(-0.111, 0.0155]",,,,,,,,,,,,
1987-01-31,0.005074074074074076,,,,,1stQ,0,"(-0.111, 0.0155]",,,,,,,,,,,,
1987-02-28,0.004267857142857144,,,,,1stQ,0,"(-0.111, 0.0155]",,,,,,,,,,,,
1987-03-31,0.006596551724137933,,,,,1stQ,0,"(-0.111, 0.0155]",,,,,,,,,,,,
1987-04-30,0.01692,,,,,3rdQ,2,"(0.0164, 0.0181]",,,,,,,,,,,,
1987-05-31,0.015506451612903227,,,,,2ndQ,1,"(0.0155, 0.0164]",,,,,,,,,,,,
1987-06-30,0.013581250000000001,,,,,1stQ,0,"(-0.111, 0.0155]",,,,,,,,,,,,
1987-07-31,0.014978787878787881,,,,,1stQ,0,"(-0.111, 0.0155]",,,,,,,,,,,,
1987-08-31,0.013661764705882354,,,,,1stQ,0,"(-0.111, 0.0155]",,,,,,,,,,,,
1987-09-30,0.014842857142857145,,,,,1stQ,0,"(-0.111, 0.0155]",,,,,,,,,,,,
1987-10-31,0.01287777777777778,,,,,1stQ,0,"(-0.111, 0.0155]",,,,,,,,,,,,
1987-11-30,0.01732972972972973,,,,,3rdQ,2,"(0.0164, 0.0181]",,,,,,,,,,,,
1987-12-31,0.017389473684210528,,,,,3rdQ,2,"(0.0164, 0.0181]",,,,,,,,,,,,
1988-01-31,0.01713076923076923,,,,,3rdQ,2,"(0.0164, 0.0181]",,,,,,,,,,,,
1988-02-29,0.0177875,,,,,3rdQ,2,"(0.0164, 0.0181]",,,,,,,,,,,,
1988-03-31,0.01575609756097561,,,,,2ndQ,1,"(0.0155, 0.0164]",,,,,,,,,,,,
1988-04-30,0.014792857142857144,,,,,1stQ,0,"(-0.111, 0.0155]",,,,,,,,,,,,
1988-05-31,0.015351162790697676,,,,,1stQ,0,"(-0.111, 0.0155]",,,,,,,,,,,,
1988-06-30,0.014875000000000001,,,,,1stQ,0,"(-0.111, 0.0155]",,,,,,,,,,,,
1988-07-31,0.01413777777777778,,,,,1stQ,0,"(-0.111, 0.0155]",,,,,,,,,,,,
1988-08-31,0.013254347826086957,,,,,1stQ,0,"(-0.111, 0.0155]",,,,,,,,,,,,
1988-09-30,0.013393617021276597,,,,,1stQ,0,"(-0.111, 0.0155]",,,,,,,,,,,,
1988-10-31,0.013514583333333335,,,,,1stQ,0,"(-0.111, 0.0155]",,,,,,,,,,,,
1988-11-30,0.01309183673469388,,,,,1stQ,0,"(-0.111, 0.0155]",,,,,,,,,,,,
1988-12-31,0.00949,,,,,1stQ,0,"(-0.111, 0.0155]",,,,,,,,,,,,
1989-01-31,0.013441176470588236,,,,,1stQ,0,"(-0.111, 0.0155]",,,,,,,,,,,,
1989-02-28,0.01236923076923077,,,,,1stQ,0,"(-0.111, 0.0155]",,,,,,,,,,,,
1989-03-31,0.01389056603773585,,,,,1stQ,0,"(-0.111, 0.0155]",,,,,,,,,,,,
1989-04-30,0.014761111111111112,,,,,1stQ,0,"(-0.111, 0.0155]",,,,,,,,,,,,
1989-05-31,0.018132727272727273,,,,,4thQ,3,"(0.0181, 0.0583]",,,,,,,,,,,,
1989-06-30,0.018382142857142857,,,,,4thQ,3,"(0.0181, 0.0583]",,,,,,,,,,,,
1989-07-31,0.019489473684210525,,,,,4thQ,3,"(0.0181, 0.0583]",,,,,,,,,,,,
1989-08-31,0.016908620689655172,,,,,3rdQ,2,"(0.0164, 0.0181]",,,,,,,,,,,,
1989-09-30,0.01635762711864407,,,,,2ndQ,1,"(0.0155, 0.0164]",,,,,,,,,,,,
1989-10-31,0.013309999999999999,,,,,1stQ,0,"(-0.111, 0.0155]",,,,,,,,,,,,
1989-11-30,0.014295081967213115,,,,,1stQ,0,"(-0.111, 0.0155]",,,,,,,,,,,,
1989-12-31,0.013190322580645161,,,,,1stQ,0,"(-0.111, 0.0155]",,,,,,,,,,,,
1990-01-31,0.0167031746031746,,,,,3rdQ,2,"(0.0164, 0.0181]",,,,,,,,,,,,
1990-02-28,0.017278125000000002,,,,,3rdQ,2,"(0.0164, 0.0181]",,,,,,,,,,,,
1990-03-31,0.017952307692307694,,,,,3rdQ,2,"(0.0164, 0.0181]",,,,,,,,,,,,
1990-04-30,0.018710606060606063,,,,,4thQ,3,"(0.0181, 0.0583]",,,,,,,,,,,,
1990-05-31,0.016755223880597015,,,,,3rdQ,2,"(0.0164, 0.0181]",,,,,,,,,,,,
1990-06-30,0.01709558823529412,,,,,3rdQ,2,"(0.0164, 0.0181]",,,,,,,,,,,,
1990-07-31,0.017046376811594204,,,,,3rdQ,2,"(0.0164, 0.0181]",,,,,,,,,,,,
1990-08-31,0.017098571428571428,,,,,3rdQ,2,"(0.0164, 0.0181]",,,,,,,,,,,,
1990-09-30,0.01738732394366197,,,,,3rdQ,2,"(0.0164, 0.0181]",,,,,,,,,,,,
1990-10-31,0.017090277777777777,,,,,3rdQ,2,"(0.0164, 0.0181]",,,,,,,,,,,,
1990-11-30,0.017601369863013697,,,,,3rdQ,2,"(0.0164, 0.0181]",,,,,,,,,,,,
1990-12-31,0.017202702702702705,,,,,3rdQ,2,"(0.0164, 0.0181]",,,,,,,,,,,,
1991-01-31,0.016033333333333333,,,,,2ndQ,1,"(0.0155, 0.0164]",,,,,,,,,,,,
1991-02-28,0.015228947368421052,,,,,1stQ,0,"(-0.111, 0.0155]",,,,,,,,,,,,
1991-03-31,0.016368831168831168,,,,,2ndQ,1,"(0.0155, 0.0164]",,,,,,,,,,,,
1991-04-30,0.015583333333333334,,,,,2ndQ,1,"(0.0155, 0.0164]",,,,,,,,,,,,
1991-05-31,0.014754430379746835,,,,,1stQ,0,"(-0.111, 0.0155]",,,,,,,,,,,,
1991-06-30,0.014512500000000001,,,,,1stQ,0,"(-0.111, 0.0155]",,,,,,,,,,,,
1991-07-31,0.014019753086419753,,,,,1stQ,0,"(-0.111, 0.0155]",,,,,,,,,,,,
1991-08-31,0.015059756097560977,-0.01,,,,1stQ,0,"(-0.111, 0.0155]",1stQ,0.0,"(-0.011, 0.0136]",,,,,,,,,
1991-09-30,0.01599036144578313,0.0282,,,,2ndQ,1,"(0.0155, 0.0164]",4thQ,3.0,"(0.021, 0.0718]",,,,,,,,,
1991-10-31,0.014022619047619048,0.019633333333333332,,,,1stQ,0,"(-0.111, 0.0155]",3rdQ,2.0,"(0.0168, 0.021]",,,,,,,,,
1991-11-30,0.013998823529411765,0.01995,,,,1stQ,0,"(-0.111, 0.0155]",3rdQ,2.0,"(0.0168, 0.021]",,,,,,,,,
1991-12-31,0.017466279069767443,0.0718,,,,3rdQ,2,"(0.0164, 0.0181]",4thQ,3.0,"(0.021, 0.0718]",,,,,,,,,
1992-01-31,0.015595402298850574,0.03438333333333333,,,,2ndQ,1,"(0.0155, 0.0164]",4thQ,3.0,"(0.021, 0.0718]",,,,,,,,,
1992-02-29,0.01531590909090909,0.018671428571428568,,,,1stQ,0,"(-0.111, 0.0155]",3rdQ,2.0,"(0.0168, 0.021]",,,,,,,,,
1992-03-31,0.015597752808988763,0.009212499999999998,,,,2ndQ,1,"(0.0155, 0.0164]",1stQ,0.0,"(-0.011, 0.0136]",,,,,,,,,
1992-04-30,0.013746666666666667,0.010655555555555554,,,,1stQ,0,"(-0.111, 0.0155]",1stQ,0.0,"(-0.011, 0.0136]",,,,,,,,,
1992-05-31,0.013556043956043956,0.006139999999999998,,,,1stQ,0,"(-0.111, 0.0155]",1stQ,0.0,"(-0.011, 0.0136]",,,,,,,,,
1992-06-30,0.014826086956521737,0.01408181818181818,,,,1stQ,0,"(-0.111, 0.0155]",2ndQ,1.0,"(0.0136, 0.0168]",,,,,,,,,
1992-07-31,0.015895698924731184,0.022433333333333333,,,,2ndQ,1,"(0.0155, 0.0164]",4thQ,3.0,"(0.021, 0.0718]",,,,,,,,,
1992-08-31,0.016703191489361703,0.026484615384615384,,,,3rdQ,2,"(0.0164, 0.0181]",4thQ,3.0,"(0.021, 0.0718]",,,,,,,,,
1992-09-30,0.015661052631578947,0.023749999999999997,,,,2ndQ,1,"(0.0155, 0.0164]",4thQ,3.0,"(0.021, 0.0718]",,,,,,,,,
1992-10-31,0.014933333333333333,0.019266666666666665,,,,1stQ,0,"(-0.111, 0.0155]",3rdQ,2.0,"(0.0168, 0.021]",,,,,,,,,
1992-11-30,0.014336082474226805,0.022875,,,,1stQ,0,"(-0.111, 0.0155]",4thQ,3.0,"(0.021, 0.0718]",,,,,,,,,
1992-12-31,0.013358163265306122,0.018823529411764708,,,,1stQ,0,"(-0.111, 0.0155]",3rdQ,2.0,"(0.0168, 0.021]",,,,,,,,,
1993-01-31,0.013516161616161617,0.01701111111111111,,,,1stQ,0,"(-0.111, 0.0155]",3rdQ,2.0,"(0.0168, 0.021]",,,,,,,,,
1993-02-28,0.01478,0.021184210526315788,,0.1599,,1stQ,0,"(-0.111, 0.0155]",4thQ,3.0,"(0.021, 0.0718]",,,,4thQ,3.0,"(0.055, 0.312]",,,
1993-03-31,0.01430891089108911,0.015985,,0.11549999999999999,,1stQ,0,"(-0.111, 0.0155]",2ndQ,1.0,"(0.0136, 0.0168]",,,,4thQ,3.0,"(0.055, 0.312]",,,
1993-04-30,0.015381372549019607,0.019704761904761905,,0.31193333333333334,,1stQ,0,"(-0.111, 0.0155]",3rdQ,2.0,"(0.0168, 0.021]",,,,4thQ,3.0,"(0.055, 0.312]",,,
1993-05-31,0.015597087378640778,0.020540909090909092,,0.23045,,2ndQ,1,"(0.0155, 0.0164]",3rdQ,2.0,"(0.0168, 0.021]",,,,4thQ,3.0,"(0.055, 0.312]",,,
1993-06-30,0.015502884615384616,0.024921739130434783,,0.18137999999999999,,2ndQ,1,"(0.0155, 0.0164]",4thQ,3.0,"(0.021, 0.0718]",,,,4thQ,3.0,"(0.055, 0.312]",,,
1993-07-31,0.01606095238095238,0.027804166666666668,,0.16473333333333331,,2ndQ,1,"(0.0155, 0.0164]",4thQ,3.0,"(0.021, 0.0718]",,,,4thQ,3.0,"(0.055, 0.312]",,,
1993-08-31,0.01670377358490566,0.028632,,0.14865714285714285,,3rdQ,2,"(0.0164, 0.0181]",4thQ,3.0,"(0.021, 0.0718]",,,,4thQ,3.0,"(0.055, 0.312]",,,
1993-09-30,0.016078504672897197,0.024965384615384615,,0.14961249999999998,,2ndQ,1,"(0.0155, 0.0164]",4thQ,3.0,"(0.021, 0.0718]",,,,4thQ,3.0,"(0.055, 0.312]",,,
1993-10-31,0.016076851851851853,0.024685185185185185,,0.12635555555555555,,2ndQ,1,"(0.0155, 0.0164]",4thQ,3.0,"(0.021, 0.0718]",,,,4thQ,3.0,"(0.055, 0.312]",,,
1993-11-30,0.016023853211009173,0.02555357142857143,,0.13627,,2ndQ,1,"(0.0155, 0.0164]",4thQ,3.0,"(0.021, 0.0718]",,,,4thQ,3.0,"(0.055, 0.312]",,,
1993-12-31,0.016432727272727272,0.02793103448275862,,0.12131818181818183,,2ndQ,1,"(0.0155, 0.0164]",4thQ,3.0,"(0.021, 0.0718]",,,,4thQ,3.0,"(0.055, 0.312]",,,
1994-01-31,0.01613063063063063,0.0209,,0.10853333333333333,,2ndQ,1,"(0.0155, 0.0164]",3rdQ,2.0,"(0.0168, 0.021]",,,,4thQ,3.0,"(0.055, 0.312]",,,
1994-02-28,0.015509821428571427,0.02,,0.0945,,2ndQ,1,"(0.0155, 0.0164]",3rdQ,2.0,"(0.0168, 0.021]",,,,4thQ,3.0,"(0.055, 0.312]",,,
1994-03-31,0.016691150442477876,0.02268125,,0.09292142857142857,,3rdQ,2,"(0.0164, 0.0181]",4thQ,3.0,"(0.021, 0.0718]",,,,4thQ,3.0,"(0.055, 0.312]",,,
1994-04-30,0.017156140350877192,0.02265151515151515,,0.08984666666666666,,3rdQ,2,"(0.0164, 0.0181]",4thQ,3.0,"(0.021, 0.0718]",,,,4thQ,3.0,"(0.055, 0.312]",,,
1994-05-31,0.01746,0.023470588235294118,,0.09648125,,3rdQ,2,"(0.0164, 0.0181]",4thQ,3.0,"(0.021, 0.0718]",,,,4thQ,3.0,"(0.055, 0.312]",,,
1994-06-30,0.017593103448275863,0.023274285714285713,,0.13153529411764706,,3rdQ,2,"(0.0164, 0.0181]",4thQ,3.0,"(0.021, 0.0718]",,,,4thQ,3.0,"(0.055, 0.312]",,,
1994-07-31,0.0162991452991453,0.0226,,0.11098888888888889,,2ndQ,1,"(0.0155, 0.0164]",4thQ,3.0,"(0.021, 0.0718]",,,,4thQ,3.0,"(0.055, 0.312]",,,
1994-08-31,0.014663559322033897,0.019667567567567566,,0.10642105263157893,,1stQ,0,"(-0.111, 0.0155]",3rdQ,2.0,"(0.0168, 0.021]",,,,4thQ,3.0,"(0.055, 0.312]",,,
1994-09-30,0.014147058823529412,0.02266578947368421,,0.101745,,1stQ,0,"(-0.111, 0.0155]",4thQ,3.0,"(0.021, 0.0718]",,,,4thQ,3.0,"(0.055, 0.312]",,,
1994-10-31,0.013944166666666667,0.01939230769230769,,0.10435714285714286,,1stQ,0,"(-0.111, 0.0155]",3rdQ,2.0,"(0.0168, 0.021]",,,,4thQ,3.0,"(0.055, 0.312]",,,
1994-11-30,0.0138900826446281,0.0210925,,0.10123636363636362,,1stQ,0,"(-0.111, 0.0155]",4thQ,3.0,"(0.021, 0.0718]",,,,4thQ,3.0,"(0.055, 0.312]",,,
1994-12-31,0.01343032786885246,0.018029268292682928,,0.09194347826086957,,1stQ,0,"(-0.111, 0.0155]",3rdQ,2.0,"(0.0168, 0.021]",,,,4thQ,3.0,"(0.055, 0.312]",,,
1995-01-31,0.013360975609756097,0.01726904761904762,,0.08878333333333333,,1stQ,0,"(-0.111, 0.0155]",3rdQ,2.0,"(0.0168, 0.021]",,,,4thQ,3.0,"(0.055, 0.312]",,,
1995-02-28,0.014358870967741934,0.018925581395348837,,0.079512,,1stQ,0,"(-0.111, 0.0155]",3rdQ,2.0,"(0.0168, 0.021]",,,,4thQ,3.0,"(0.055, 0.312]",,,
1995-03-31,0.0161968,0.021706818181818185,,0.08287307692307692,,2ndQ,1,"(0.0155, 0.0164]",4thQ,3.0,"(0.021, 0.0718]",,,,4thQ,3.0,"(0.055, 0.312]",,,
1995-04-30,0.016369841269841267,0.02193777777777778,,0.07792592592592593,,2ndQ,1,"(0.0155, 0.0164]",4thQ,3.0,"(0.021, 0.0718]",,,,4thQ,3.0,"(0.055, 0.312]",,,
1995-05-31,0.016036220472440944,0.025836956521739132,,0.07944285714285715,,2ndQ,1,"(0.0155, 0.0164]",4thQ,3.0,"(0.021, 0.0718]",,,,4thQ,3.0,"(0.055, 0.312]",,,
1995-06-30,0.01563046875,0.025006382978723405,,0.07653103448275861,,2ndQ,1,"(0.0155, 0.0164]",4thQ,3.0,"(0.021, 0.0718]",,,,4thQ,3.0,"(0.055, 0.312]",,,
1995-07-31,0.015558139534883721,0.0223375,,0.07605666666666666,,2ndQ,1,"(0.0155, 0.0164]",4thQ,3.0,"(0.021, 0.0718]",,,,4thQ,3.0,"(0.055, 0.312]",,,
1995-08-31,0.016858461538461537,0.021214285714285717,,0.07200967741935484,,3rdQ,2,"(0.0164, 0.0181]",4thQ,3.0,"(0.021, 0.0718]",,,,4thQ,3.0,"(0.055, 0.312]",,,
1995-09-30,0.01623206106870229,0.02023,,0.07156875,,2ndQ,1,"(0.0155, 0.0164]",3rdQ,2.0,"(0.0168, 0.021]",,,,4thQ,3.0,"(0.055, 0.312]",,,
1995-10-31,0.016928787878787876,0.01873921568627451,,0.06633636363636364,,3rdQ,2,"(0.0164, 0.0181]",3rdQ,2.0,"(0.0168, 0.021]",,,,4thQ,3.0,"(0.055, 0.312]",,,
1995-11-30,0.017640601503759398,0.02015576923076923,,0.06983529411764706,,3rdQ,2,"(0.0164, 0.0181]",3rdQ,2.0,"(0.0168, 0.021]",,,,4thQ,3.0,"(0.055, 0.312]",,,
1995-12-31,0.017840298507462687,0.022230188679245283,,0.07495142857142857,,3rdQ,2,"(0.0164, 0.0181]",4thQ,3.0,"(0.021, 0.0718]",,,,4thQ,3.0,"(0.055, 0.312]",,,
1996-01-31,0.018877037037037036,0.023433333333333334,,0.07356388888888889,,4thQ,3,"(0.0181, 0.0583]",4thQ,3.0,"(0.021, 0.0718]",,,,4thQ,3.0,"(0.055, 0.312]",,,
1996-02-29,0.017758088235294116,0.022025454545454546,,0.07078648648648649,,3rdQ,2,"(0.0164, 0.0181]",4thQ,3.0,"(0.021, 0.0718]",,,,4thQ,3.0,"(0.055, 0.312]",,,
1996-03-31,0.018325547445255476,0.022096428571428572,,0.06932105263157895,,4thQ,3,"(0.0181, 0.0583]",4thQ,3.0,"(0.021, 0.0718]",,,,4thQ,3.0,"(0.055, 0.312]",,,
1996-04-30,0.018857246376811593,0.02477543859649123,,0.07156410256410256,,4thQ,3,"(0.0181, 0.0583]",4thQ,3.0,"(0.021, 0.0718]",,,,4thQ,3.0,"(0.055, 0.312]",,,
1996-05-31,0.018636690647482013,0.022748275862068967,,0.0664075,,4thQ,3,"(0.0181, 0.0583]",4thQ,3.0,"(0.021, 0.0718]",,,,4thQ,3.0,"(0.055, 0.312]",,,
1996-06-30,0.01854642857142857,0.0218,,0.0662951219512195,,4thQ,3,"(0.0181, 0.0583]",4thQ,3.0,"(0.021, 0.0718]",,,,4thQ,3.0,"(0.055, 0.312]",,,
1996-07-31,0.017535460992907804,0.020723333333333333,,0.06502857142857142,,3rdQ,2,"(0.0164, 0.0181]",3rdQ,2.0,"(0.0168, 0.021]",,,,4thQ,3.0,"(0.055, 0.312]",,,
1996-08-31,0.017045774647887323,0.02018688524590164,,0.06292790697674418,,3rdQ,2,"(0.0164, 0.0181]",3rdQ,2.0,"(0.0168, 0.021]",,,,4thQ,3.0,"(0.055, 0.312]",,,
1996-09-30,0.017804195804195802,0.022691935483870967,,0.06537727272727273,,3rdQ,2,"(0.0164, 0.0181]",4thQ,3.0,"(0.021, 0.0718]",,,,4thQ,3.0,"(0.055, 0.312]",,,
